Station name,Adelphi Weir Upstream,,,,
Station number,690511,,,,
External number,---,,,,
River,River Irwell,,,,
Operator,---,,,,
NGR,SJ8241498723,,,,
Easting,382414,,,,
Northing,398723,,,,
Parameter-name,FQ [Flow],,,,
Parameter Type,Flow,,,,
Time series name,GMC/690511/FQ/15m.Cmd.Runoff.C,,,,
Time series unit,m_/s,,,,
Time level,High-resolution,,,,
Time series type,Other,,,,
Equidistant time series,yes,,,,
Time series value distance,15 minute,,,,
Time series quality,Production,,,,
Time series measuring method,---,,,,
Period of record in file: 25/12/2015 00:00:00 to 31/12/2015 23:45:00,,,,,
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace,,,,
Time stamp,Value[m_/s],State of value,Interpolation,Tags,Comments
26/12/2015 05:00,188,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 05:15,186,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 05:30,183,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 05:45,179,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 06:00,175,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 06:15,179,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 06:30,179,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 06:45,183,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 07:00,185,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 07:15,197,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 07:30,208,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 07:45,221,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 08:00,235,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 08:15,252,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 08:30,267,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 08:45,285,G,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 09:00,326,U,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 09:15,351,U,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 09:30,377,U,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 09:45,429,U,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 10:00,423,U,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 10:15,461,U,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 10:30,477,U,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
26/12/2015 10:45,517,U,102,,Data drifted +20mm to correct dip level of 0.748. Incorrect dip datum figure of 5.033m used instead of the correct 5.053m. ;
